name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
日本 藍地絣織,織品,縱48公分 橫32.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1641?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659764&randomCode=1083375819&maxW=200&maxH=200,南購織000978,南購,織,織品
日本 藍地絣織,織品,縱49公分 橫33公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1640?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659761&randomCode=544732174&maxW=200&maxH=200,南購織000977,南購,織,織品
日本 藍染絣織,織品,縱32.5公分 橫28公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1639?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659755&randomCode=1734416139&maxW=200&maxH=200,南購織000975,南購,織,織品
日本 藍染絣織,織品,縱32.5公分 橫26.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1638?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659752&randomCode=776616457&maxW=200&maxH=200,南購織000974,南購,織,織品
日本 藍染絣織,織品,縱29.5公分 橫34.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1637?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659746&randomCode=1195772494&maxW=200&maxH=200,南購織000972,南購,織,織品
日本 襯衣（襦袢）,織品,縱124公分 橫119公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1636?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1817132&randomCode=539371946&maxW=200&maxH=200,南購織000957,南購,織,織品
泰國 刺繡帽,織品,縱19公分 橫16公分 高12.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1635?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1298127&randomCode=582253770&maxW=200&maxH=200,南購織001281,南購,織,織品
中國 圍裙,織品,縱41公分 橫42公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1634?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1299451&randomCode=498388940&maxW=200&maxH=200,南購織001293,南購,織,織品
中國 帽子,織品,縱30.5公分 橫23.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1633?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1291108&randomCode=881922199&maxW=200&maxH=200,南購織001295,南購,織,織品
中國 藏袍,織品,縱142公分 橫100公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1632?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1712628&randomCode=207710262&maxW=200&maxH=200,南購織001300,南購,織,織品
中國 胸飾,織品,縱47.2公分 橫43公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1631?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1298582&randomCode=1987741334&maxW=200&maxH=200,南購織001302,南購,織,織品
中國 圍裙,織品,縱56.5公分 橫153公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1630?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1306866&randomCode=57791991&maxW=200&maxH=200,南購織001303,南購,織,織品
中國 靴子,織品,縱42公分 橫25公分 高9.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1629?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1291117&randomCode=1001409807&maxW=200&maxH=200,南購織001305,南購,織,織品
泰國 披肩,織品,縱86公分 橫262.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1628?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=658254&randomCode=1122628120&maxW=200&maxH=200,南購織001252,南購,織,織品
菲律賓 披肩,織品,縱67公分 橫241公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1627?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1301681&randomCode=1584665981&maxW=200&maxH=200,南購織001236,南購,織,織品
印度 披肩,織品,縱108公分 橫167公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1626?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1804094&randomCode=464496867&maxW=200&maxH=200,南購織001130,南購,織,織品
土耳其 褲子,織品,縱91公分 橫80公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1625?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1712434&randomCode=394982016&maxW=200&maxH=200,南購織001126,南購,織,織品
