name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
御製四得論（下） 冊,絲繡,40.6x52.5,清高宗乾隆五十五年（1790）,,https://digitalarchive.npm.gov.tw/Collection/Detail/13829?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=623939&randomCode=1887795820&maxW=200&maxH=200,故絲00016500000,故,絲,絲繡
御製四得論（上） 冊,絲繡,40.6x52.5,清高宗乾隆五十五年（1790）,,https://digitalarchive.npm.gov.tw/Collection/Detail/13828?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=623931&randomCode=1857533270&maxW=200&maxH=200,故絲00016400000,故,絲,絲繡
清緙絲無量壽佛 軸,絲繡,232.2x100.9,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13827?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=638274&randomCode=1083375819&maxW=200&maxH=200,故絲00016300000,故,絲,絲繡
清緙絲無量壽佛 軸,絲繡,196.3x88,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13826?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=638263&randomCode=933625661&maxW=200&maxH=200,故絲00016200000,故,絲,絲繡
宋繡盆菊詩意簾 軸,絲繡,220x64.8,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13825?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=611755&randomCode=106034043&maxW=200&maxH=200,故絲00016100000,故,絲,絲繡
宋繡盆菊詩意簾 軸,絲繡,220x64.8,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13824?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=640895&randomCode=1755857051&maxW=200&maxH=200,故絲00016000000,故,絲,絲繡
宋緙絲孔雀圖 軸,絲繡,167x227.7,,本幅或為祝賀婚姻美滿之作。原畫牡丹花瓣及孔雀羽或為鈎金輪廓，刻織圖中則以色線代之。通幅設色富麗；其刻織技巧與另幅宋緙絲芙蓉雙雁、明緙絲花卉冊、及宋緙絲花鳥等幅風格近似。圖經石渠寶笈初編著錄；載朱啟鈐刻絲書畫錄,https://digitalarchive.npm.gov.tw/Collection/Detail/13823?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=883446&randomCode=189898873&maxW=200&maxH=200,故絲00015900000,故,絲,絲繡
御製讚緙絲極樂世界圖 軸,絲繡,289.2x142.2,,刻織白地極樂世界圖。佛坐蓮臺，十大弟子，諸天圍繞，天女奏樂雨花，合掌迴向，具大莊嚴閣，八功德池，蓮花祗樹，身光雲彩，種種寶飾，無名款。詩塘刻織乾隆皇帝贊四體書，文不錄，款，「壬寅仲春月中澣，御讚」。此幅內容及風格與本院收藏清丁觀鵬畫極樂世界相同，當為摹刻該畫，而尺寸略小。丁觀鵬畫有年款為「乾隆二十四年二月」，此幅詩塘乾隆贊年款為「壬寅」，卽乾隆四十七年，此刻絲製作當為是年之後。其設色刻織部份僅為主要輪廓。人物面部、衣紋、建築等細膩部份皆為筆墨及色之添染。此幅經秘殿珠林石渠寶笈三編著錄；載在朱啟鈐刻絲書畫錄,https://digitalarchive.npm.gov.tw/Collection/Detail/13822?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=632886&randomCode=2041175501&maxW=200&maxH=200,故絲00015800000,故,絲,絲繡
清裘王氏繡線文殊大士像 軸,絲繡,354x150.3,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13821?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=668794&randomCode=1579305753&maxW=200&maxH=200,故絲00015700000,故,絲,絲繡
清緙絲群仙祝壽 軸,絲繡,203x195.5,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13820?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=638248&randomCode=1861162793&maxW=200&maxH=200,故絲00015600000,故,絲,絲繡
清緙絲群仙祝壽 軸,絲繡,203x194.3,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13819?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635705&randomCode=2091148258&maxW=200&maxH=200,故絲00015500000,故,絲,絲繡
清緙絲群仙祝壽 軸,絲繡,204.2x194.5,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13818?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635689&randomCode=830218737&maxW=200&maxH=200,故絲00015400000,故,絲,絲繡
清緙絲群仙祝壽 軸,絲繡,204.7x194,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13817?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=895571&randomCode=430604794&maxW=200&maxH=200,故絲00015300000,故,絲,絲繡
清繡線佛像（十三）明王 軸,絲繡,128.7x59.8,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13816?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=638237&randomCode=1149429260&maxW=200&maxH=200,故絲00015200000,故,絲,絲繡
清繡線佛像（十二）明王 軸,絲繡,127.1x59.8,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13815?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635680&randomCode=1734416139&maxW=200&maxH=200,故絲00015100000,故,絲,絲繡
清繡線佛像（十一）明王 軸,絲繡,128.7x59.8,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13814?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=632876&randomCode=940716594&maxW=200&maxH=200,故絲00015000000,故,絲,絲繡
