AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,林明傳,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE2OA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,劉柏臣,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE3MA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,洪澄滄,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE3MQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳其銓,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE3Mg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,林榮森,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE3Mw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,胡進彬,,,6聯屏,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE3NA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,余天賜,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE3NQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,吳進良,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE3Ng==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,許金郎,,,4聯屏,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE3Nw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,謝正芳,,,對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE3OA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,洪文黎,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE3OQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,丁玉熙,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE4MA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,彭鴻,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE4MQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,黃一鳴,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE4Mw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,李光啟,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE4NQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,曾伯祿,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE4Ng==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,王愷和,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE4Nw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,吳英國,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE4OA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,張富南,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE4OQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,周永吉,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE5MA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
