AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,臺灣省交響樂團 演出人：陳倬民 團長：鄧漢錦 指揮：劉子修、王立德 獨奏：康炳奎、梅啓生、賴勇、劉榮義、黃淵泉、謝北光,,,臺灣省秋季藝術活動─巡迴演奏,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODcxMTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 指揮：杜黑,,,合唱之夜─聖誕音樂會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODcxMjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,卞福順,,,韓國女鋼琴家─卞福順鋼琴獨奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODgwMjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省交響樂團 演出人：陳倬民 團長：鄧漢錦 指揮：王立德,,,中民國七十七年臺灣省春季藝術活動─巡迴演奏,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODgwNTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 客席指揮：亨利‧梅哲(Henry Mazer),,,交響樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODgwODAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：鄧漢錦 指揮：王立德 鋼琴獨奏：吳季札,,,貝多芬之夜,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODgxMDAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,指揮：涂惠民 雙簧管：劉榮義 演出者：李福登 演出執行：周理悧,,,私立台南家政專科學校─交響樂團巡迴演出,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwMzAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：鄧漢錦 執行演出：陳茂萱 指導教授：張大勝、廖年賦 指揮：翁佳芬、許智慧、曹懿倩,,,交響樂演奏會─師大音樂研究所指揮組七八級畢業演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwNDAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省交響樂團 演出人：陳倬民 團長：鄧漢錦 指揮：劉子修,,,中華民國七十八年春季藝術活動─管弦樂之旅巡迴演奏,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwNTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,指揮：劉子修、關迺忠 臺灣省教育廳交響樂團 團長：鄧漢錦 演唱者：任蓉、成明、李靜美、呂麗莉、范宇文、殷正洋、陳榮貴、張清郎、黃耀明、簡文秀 演出團體： 國立臺灣師範大學實驗合唱團 藝術家合唱團 省交合唱團(台中) 中廣兒童合唱團 原野三重唱 台中市兒童合唱團,,,聯合演唱會─歌聲滿人間,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwNTAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 客席指揮：桃樂西‧克蘿茲曼(Prof. Dorothy Klotzman) 獨奏：陳怡婷(鋼琴)、陳彥豪(法國號) 演出：臺灣省交響樂團,,,臺灣省交響樂團─定期音樂會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODkwNzAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
